TimeElapsed,gpsLock,TimeLocal,Lat,Long,Alt,RoC,GndSpd,GndCrs,Acc,nSats,ExtTemp,BatTemp,IntTemp,Pres,PresAlt,PresRoC,BatVolt,BatCap,BatHeat,StateParachute,StateUpperCut,StateLowerCut
5157.6,T,104908.5,4645.36279,-11727.49023,591.54,-1.26,22.16,107.5,3.06,15,20.91,17.46,32.41,94.24,610.37,-1.19,4.05,91.98,0.00,Wait,Wait,Wait
5158.1,T,104909.0,4645.36084,-11727.48145,590.93,-1.08,22.45,107.1,3.06,15,20.89,17.46,32.41,94.24,610.63,-0.76,4.05,91.73,0.00,Wait,Wait,Wait
5158.6,T,104909.5,4645.35938,-11727.47363,590.27,-1.29,22.17,106.3,3.14,15,20.86,17.46,32.41,94.28,606.55,-2.61,4.04,91.61,0.00,Wait,Wait,Wait
5159.1,T,104910.0,4645.35742,-11727.46484,589.42,-1.23,21.62,105.9,3.14,15,20.83,17.46,32.41,94.24,610.10,-0.18,4.04,91.49,0.00,Wait,Wait,Wait
5159.6,T,104910.5,4645.35596,-11727.45703,588.89,-1.01,21.11,104.7,3.20,15,20.80,17.46,32.41,94.29,605.84,-2.27,4.05,91.85,0.00,Wait,Wait,Wait
5160.1,T,104911.0,4645.35449,-11727.44922,588.46,-0.89,20.41,103.8,3.20,16,20.77,17.46,32.41,94.31,604.60,-2.32,4.05,91.85,0.00,Wait,Wait,Wait
5160.6,T,104911.5,4645.35352,-11727.44141,588.04,-0.73,19.91,100.9,3.20,15,20.74,17.46,32.40,94.31,604.60,-1.74,4.04,91.49,0.00,Wait,Wait,Wait
5161.1,T,104912.0,4645.35303,-11727.43359,587.81,-0.14,19.55,97.7,3.12,15,20.72,17.46,32.41,94.35,601.14,-3.05,4.05,91.73,0.00,Wait,Wait,Wait
5161.6,T,104912.5,4645.35205,-11727.42578,587.65,-0.24,19.44,94.6,3.06,16,20.69,17.46,32.41,94.34,601.85,-1.93,4.05,92.10,0.00,Wait,Wait,Wait
5162.1,T,104913.0,4645.35205,-11727.41895,587.58,-0.21,19.32,91.6,3.06,16,20.67,17.46,32.40,94.35,600.88,-1.94,4.05,92.10,0.00,Wait,Wait,Wait
5162.6,T,104913.5,4645.35205,-11727.41113,587.58,-0.06,19.49,88.6,3.06,16,20.64,17.46,32.40,94.33,602.74,-0.52,4.04,91.49,0.00,Wait,Wait,Wait
5163.1,T,104914.0,4645.35254,-11727.40332,587.55,-0.11,19.65,85.8,3.06,16,20.62,17.47,32.40,94.35,600.88,-1.33,4.05,91.98,0.00,Wait,Wait,Wait
5163.6,T,104914.5,4645.35303,-11727.39551,587.50,-0.07,19.79,82.6,3.06,16,20.59,17.46,32.40,94.33,602.74,-0.07,4.05,92.22,0.00,Wait,Wait,Wait
